key_resp.corr,key_resp.rt,,,,,1,0.5558152,,1,0.0280812,,,,0.5558152,0.0280812
1,0.3335313,,,,,,,,,,,,,,
1,0.0498971,,,,,,,,,,,,,,
1,0.0107642,,,,,,,,,,,,,,
1,0.3100541,,,,,,,,,,,,,,
1,0.2755928,,,,,,,,,,,,,,
1,0.2201221,,,,,,,,,,,,,,
0,0.0876256,,,,,,,,,,,,,,
1,0.2871537,,,,,,,,,,,,,,
1,0.2807877,,,,,,,,,,,,,,
1,0.218795,,,,,,,,,,,,,,
1,0.1159522,,,,,,,,,,,,,,
1,0.0777131,,,,,,,,,,,,,,
1,0.0636858,,,,,,,,,,,,,,
1,0.1439907,,,,,,,,,,,,,,
1,0.042009,,,,,,,,,,,,,,
1,0.3510416,,,,,,,,,,,,,,
1,0.1150716,,,,,,,,,,,,,,
1,0.2779328,,,,,,,,,,,,,,
1,0.2253366,,,,,,,,,,,,,,
1,0.4284084,,,,,,,,,,,,,,
1,0.0280812,,,,,,,,,,,,,,
0,0.0908583,,,,,,,,,,,,,,
1,0.7210952,,,,,,,,,,,,,,
1,1.3881087,,,,,,,,,,,,,,
1,0.4591,,,,,,,,,,,,,,
1,0.568987,,,,,,,,,,,,,,
1,0.558777,,,,,,,,,,,,,,
1,1.29766,,,,,,,,,,,,,,
1,0.610012,,,,,,,,,,,,,,
1,0.5643129,,,,,,,,,,,,,,
1,0.4149846,,,,,,,,,,,,,,
1,0.5385926,,,,,,,,,,,,,,
1,0.3456776,,,,,,,,,,,,,,
1,0.585785,,,,,,,,,,,,,,
1,0.5038143,,,,,,,,,,,,,,
1,0.440054,,,,,,,,,,,,,,
1,0.5058664,,,,,,,,,,,,,,
0,0.3798884,,,,,,,,,,,,,,
1,0.6952524,,,,,,,,,,,,,,
1,0.3460894,,,,,,,,,,,,,,
1,0.8901357,,,,,,,,,,,,,,
1,0.750801,,,,,,,,,,,,,,
1,0.9269264,,,,,,,,,,,,,,
1,0.4236325,,,,,,,,,,,,,,
1,0.3446829,,,,,,,,,,,,,,
1,0.3574364,,,,,,,,,,,,,,
1,1.0772377,,,,,,,,,,,,,,
1,0.5588983,,,,,,,,,,,,,,
0,0.242975,,,,,,,,,,,,,,
1,0.5075585,,,,,,,,,,,,,,
1,0.7202211,,,,,,,,,,,,,,
1,0.5483712,,,,,,,,,,,,,,
0,1.0194811,,,,,,,,,,,,,,
1,0.7615622,,,,,,,,,,,,,,
1,0.7222814,,,,,,,,,,,,,,
